AdGroup ID,Name,Campaign ID,Records(since 2018-07-01)
2680062659313,PinOT_KW0_LAL810PXCSSummerD03Foil-V1_LPX_D0531_US_TR_XP0_off1,626739859531,0
2680060085956,Ad Group For Pin: 687195511582,626735531421,91
2680060956420,Ad Group For Pin: 687196190141,626736667390,0
2680059700916,Ad Group For Pin: 687195411980,626735481495,0
2680059655821,Ad Group For Pin: 687195401333,626735476571,26
2680060027282,Ad Group For Pin: 687195087369,626734588187,0
2680060093840,Ad Group For Pin: 687195307883,626734653460,0
2680061533484,PinOT_KW2_HB2_C01i31_LPX_C0619_US_TR_XP12x_off1_All_All_Med,626737725684,3
2680061793604,PinBid1_KW2_C09Makeup_i32W_LPX_C0908_US_TR_GE_off1_Mobile_P45,626738640747,0
2680060956378,Ad Group For Pin: 687196190098,626736667372,0
2680061840766,PinOT_KW2_C09Makeup_C02i33P-NW_LPX_C0920_US_TR_GE_off1_Web,626738659818,0
